R2-PINH,154.89,2.35,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,154.03,50.18,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,159.64,54.13,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,135.25,56.47,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,91.25,61.43,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH5,57.57,47.83,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,73.23,23.75,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,73.53,22.27,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,19.20,44.20,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,40.37,33.51,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,40.37,38.59,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,40.37,43.67,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,57.67,44.85,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,23.98,108.88,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,44.59,108.65,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,90.65,47.09,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.57,108.85,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,66.55,71.95,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.31,108.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.48,6.96,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,60.00,54.26,0.00,,SJ
TP1,4.74,32.98,0.00,TPTP20R,TP20R
TP10,22.54,28.66,0.00,TPTP20R,TP20R
TP11,5.04,23.38,0.00,TPTP20R,TP20R
TP12,5.04,18.30,0.00,TPTP20R,TP20R
TP13,9.34,23.82,0.00,TPTP20R,TP20R
TP14,9.34,18.74,0.00,TPTP20R,TP20R
TP15,13.54,23.96,0.00,TPTP20R,TP20R
TP16,13.74,19.28,0.00,TPTP20R,TP20R
TP17,13.74,14.20,0.00,TPTP20R,TP20R
TP2,4.74,27.90,0.00,TPTP20R,TP20R
TP3,9.04,33.12,0.00,TPTP20R,TP20R
TP4,9.04,28.04,0.00,TPTP20R,TP20R
TP5,13.24,33.26,0.00,TPTP20R,TP20R
TP6,13.24,28.18,0.00,TPTP20R,TP20R
TP7,17.94,33.80,0.00,TPTP20R,TP20R
TP8,17.94,28.72,0.00,TPTP20R,TP20R
TP9,22.54,33.74,0.00,TPTP20R,TP20R
U1,34.32,59.23,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.99,55.86,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,86.42,54.35,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,59.88,58.57,0.00,MAX17048G+T10,SON50P200X200X80-9N
